"000";"COLIS POSTAUX"
"013";"AFEGANISTAO"
"017";"ALBANIA"
"020";"ALBORAN-PEREJIL,ILHAS"
"023";"ALEMANHA"
"025";"ALEMANHA, REP. DEMOCRATICA DA"
"031";"BURKINA FASO"
"037";"ANDORRA"
"040";"ANGOLA"
"041";"ANGUILLA"
"043";"ANTIGUA E BARBUDA"
"047";"ANTILHAS HOLANDESAS"
"053";"ARABIA SAUDITA"
"059";"ARGELIA"
"063";"ARGENTINA"
"064";"ARMENIA, REPUBLICA DA"
"065";"ARUBA"
"069";"AUSTRALIA"
"072";"AUSTRIA"
"073";"AZERBAIJAO, REPUBLICA DO"
"077";"BAHAMAS"
"080";"Bahrein, Ilhas"
"081";"BANGLADESH"
"083";"BARBADOS"
"085";"BIELO-RUSSIA (BELARUS) REP. DA"
"087";"BELGICA"
"088";"BELISE"
"090";"BERMUDAS"
"093";"Mianmar (Birmânia)"
"097";"BOLIVIA"
"098";"Bosnia-Herzegovina (Republica da)"
"100";"ZONA FRANCA DE MANAUS"
"101";"BOTSUANA"
"105";"BRASIL"
"106";"BRASIL (AFRETAMENTO)"
"108";"BRUNEI"
"111";"BULGARIA"
"115";"BURUNDI"
"119";"BUTAO"
"127";"Cabo Verde,República de"
"131";"CACHEMIRA"
"137";"CAYMAN,ILHAS"
"141";"CAMBOJA"
"145";"CAMAROES"
"149";"CANADA"
"152";"CANAL (ILHAS NORMANDAS)"
"153";"CASAQUISTAO, REPUBLICA DO"
"154";"CATAR"
"158";"CHILE"
"160";"China, República Popular"
"161";"FORMOSA (PROVINCIA DA CHINA)"
"163";"CHIPRE"
"165";"COCOS (KEELING),ILHAS"
"169";"COLOMBIA"
"173";"COMORES, ILHAS"
"177";"CONGO"
"183";"COOK, ILHAS"
"187";"Coréia, Rep.Pop.Democrática"
"190";"COREIA REPUBLICA DA"
"193";"COSTA DO MARFIM"
"195";"CROACIA, REPUBLICA DA"
"196";"COSTA RICA"
"198";"COVEITE"
"199";"CUBA"
"229";"BENIN"
"232";"DINAMARCA"
"235";"DOMINICA"
"237";"DUBAI"
"239";"EQUADOR"
"240";"EGITO"
"244";"EMIRADOS ARABES UNIDOS"
"245";"ESPANHA"
"246";"ESLOVENIA, REPUBLICA DA"
"247";"ESLOVACA, REPUBLICA"
"249";"ESTADOS UNIDOS"
"251";"ESTONIA, REPUBLICA DA"
"253";"ETIOPIA"
"255";"FALKLAND (ILHAS MALVINAS)"
"259";"FEROE, ILHAS"
"263";"FEZZAN"
"267";"FILIPINAS"
"271";"FINLANDIA"
"275";"FRANCA"
"281";"GABAO"
"285";"GAMBIA"
"289";"GANA"
"291";"GEORGIA, REPUBLICA DA"
"293";"GIBRALTAR"
"297";"GRANADA"
"301";"GRECIA"
"305";"GROENLANDIA"
"309";"GUADALUPE"
"313";"GUAM"
"317";"GUATEMALA"
"325";"GUIANA FRANCESA"
"329";"GUINE, REPUBLICA DA"
"331";"GUINE-EQUATORIAL"
"334";"GUINE BISSAU"
"337";"GUIANA"
"341";"HAITI"
"345";"HONDURAS"
"351";"HONG-KONG"
"355";"HUNGRIA"
"357";"IEMEN, REPUBLICA DO"
"358";"IEMEN DEMOCRATICO"
"361";"INDIA"
"365";"INDONESIA"
"369";"IRAQUE"
"372";"Irã, República Islamica do"
"375";"IRLANDA"
"379";"ISLANDIA"
"383";"ISRAEL"
"386";"ITALIA"
"388";"Sérvia E Montenegro(Iugoslávia,Rep. Fede"
"391";"JAMAICA"
"395";"JAMMU"
"399";"JAPAO"
"403";"JORDANIA"
"411";"KIRIBATI"
"420";"LAOS, REP. POP. E DEMOCR. DO"
"423";"LEBUAN(ILHA)"
"426";"LESOTO"
"427";"LETONIA, REPUBLICA DA"
"431";"LIBANO"
"434";"LIBERIA"
"438";"LIBIA"
"440";"LIECHTENSTEIN"
"442";"LITUANIA, REPUBLICA DA"
"445";"LUXEMBURGO"
"447";"MACAU"
"450";"MADAGASCAR"
"455";"MALAISIA"
"458";"MALAVI"
"461";"MALDIVAS"
"464";"MALI"
"467";"MALTA"
"472";"MARIANAS DO NORTE"
"474";"MARROCOS"
"476";"MARSHALL, ILHA"
"477";"MARTINICA"
"485";"MAURICIO"
"488";"MAURITANIA"
"493";"MEXICO"
"494";"MOLDAVIA (MOLDAVA),REP. DA"
"495";"MONACO"
"497";"MONGOLIA"
"499";"MICRONESIA, EST.FED.DA"
"501";"MONSERRAT"
"505";"MOCAMBIQUE"
"507";"NAMIBIA"
"508";"NAURU"
"511";"Christmas,Ilhas (Navidad)"
"517";"NEPAL"
"521";"NICARAGUA"
"525";"NIGER"
"528";"NIGERIA"
"531";"NIUE"
"535";"NORFOLK, ILHA"
"538";"NORUEGA"
"542";"NOVA CALEDONIA"
"545";"PAPUA NOVA GUINE"
"548";"NOVA ZELANDIA"
"551";"VANUATU"
"556";"OMA"
"563";"Pacífico, Ilhas do (Administ.dos Eua)"
"566";"Pacífico, Ilhas do"
"569";"PACIF. ILHAS TERR. USA"
"573";"Países Baixos (Holanda)"
"575";"PALAU, REPUBLICA DO"
"576";"PAQUISTAO"
"580";"PANAMA"
"583";"PAPUA, TERRITORIO DE"
"586";"PARAGUAI"
"589";"PERU"
"593";"PITCAIRN, ILHA DE"
"599";"POLINESIA FRANCESA"
"603";"POLONIA"
"607";"PORTUGAL"
"611";"PORTO RICO"
"623";"QUENIA"
"625";"QUIRGUIZIA, REPUBLICA DA"
"628";"REINO UNIDO"
"640";"REPUBLICA CENTRO AFRICANA"
"647";"REPUBLICA DOMINICANA"
"660";"REUNIAO"
"665";"ZIMBABUE"
"666";"COMUNIDADE ECONOMICA EUROPEIA"
"670";"ROMENIA"
"675";"RUANDA"
"676";"RUSSIA, FEDERACAO DA"
"677";"SALOMAO, ILHAS"
"685";"SAARA OCIDENTAL"
"687";"EL SALVADOR"
"690";"SAMOA"
"691";"SOMOA AMERICANA"
"695";"SAO CRISTOVAO E NEVES"
"697";"SAN MARINO"
"700";"SAO PEDRO E MIQUELLON"
"705";"SAO VICENTE E GRANADINAS"
"710";"SANTA HELENA"
"715";"SANTA LUCIA"
"720";"SAO TOME E PRINCIPE"
"728";"SENEGAL"
"731";"SEYCHELLES"
"735";"SERRA LEOA"
"738";"SIKKIM"
"741";"CINGAPURA"
"744";"SIRIA, REP. ARABE DA"
"748";"SOMALIA"
"750";"SRI-LANKA"
"754";"SUAZILANDIA"
"756";"AFRICA DO SUL"
"759";"SUDAO"
"764";"SUECIA"
"767";"SUICA"
"770";"SURINAME"
"772";"TADJIQUISTAO, REPUBLICA DO"
"776";"TAILANDIA"
"780";"TANZANIA"
"782";"Território Britânico no Oceano Índico"
"783";"DJIBUTI"
"785";"TERR. ALTA COMISS. PAC. OCEAN."
"788";"CHADE"
"790";"TCHECOSLOVAQUIA"
"791";"THECA, REPUBLICA"
"795";"TIMOR ORIENTAL"
"800";"TOGO"
"805";"TOQUELAU"
"810";"TONGA"
"815";"TRINIDAD E TOBAGO"
"820";"TUNISIA"
"823";"TURCAS E CAICOS, ILHAS"
"824";"Turcomenistão, República do"
"827";"TURQUIA"
"828";"TUVALU"
"831";"UCRANIA"
"833";"UGANDA"
"840";"U.R.S.S."
"845";"URUGUAI"
"847";"UZBEQUISTAO, REPUBLICA DO"
"848";"VATICANO, CIDADE DO (SANTA SE)"
"850";"VENEZUELA"
"855";"VIETNAME DO NORTE"
"858";"VIETNA"
"863";"VIRGENS, ILHAS (BRITANICAS)"
"866";"VIRGENS, ILHAS (EUA)"
"870";"FIJI"
"875";"WALLIS E FUTURNA, ILHAS"
"888";"ZAIRE"
"890";"ZAMBIA"
"895";"ZONA DO CANAL DO PANAMA"
"990";"PROV. DE NAVIOS E AERONAVES"
"997";"NAO DECLARADOS"
"998";"NAO DECLARADO PRELIMINAR"
"999";"NAO DECLARADOS"
